date,gz_vibration_g.mean_value
11/27/2025 5:07:59.282000000 PM,-0.10546875
11/27/2025 5:07:59.322000000 PM,-0.107421875
11/27/2025 5:07:59.364000000 PM,-0.11328125
11/27/2025 5:07:59.408000000 PM,-0.1103515625
11/27/2025 5:07:59.446000000 PM,-0.1103515625
11/27/2025 5:07:59.488000000 PM,-0.1123046875
11/27/2025 5:07:59.529000000 PM,-0.1142578125
11/27/2025 5:07:59.571000000 PM,-0.109375
11/27/2025 5:07:59.613000000 PM,-0.1064453125
11/27/2025 5:07:59.655000000 PM,-0.1103515625
11/27/2025 5:07:59.696000000 PM,-0.119140625
11/27/2025 5:07:59.743000000 PM,-0.11328125
11/27/2025 5:07:59.786000000 PM,-0.1064453125
11/27/2025 5:07:59.844000000 PM,-0.1162109375
11/27/2025 5:07:59.892000000 PM,-0.107421875
11/27/2025 5:07:59.934000000 PM,-0.1162109375
11/27/2025 5:07:59.978000000 PM,-0.1142578125
11/27/2025 5:08:00.017000000 PM,-0.10546875
11/27/2025 5:08:00.059000000 PM,-0.1162109375
11/27/2025 5:08:00.103000000 PM,-0.1123046875
11/27/2025 5:08:00.141000000 PM,-0.103515625
11/27/2025 5:08:00.185000000 PM,-0.1162109375
11/27/2025 5:08:00.224000000 PM,-0.1181640625
11/27/2025 5:08:00.266000000 PM,-0.0947265625
11/27/2025 5:08:00.308000000 PM,-0.115234375
11/27/2025 5:08:00.347000000 PM,-0.11328125
11/27/2025 5:08:00.388000000 PM,-0.1083984375
11/27/2025 5:08:00.431000000 PM,-0.1259765625
11/27/2025 5:08:00.470000000 PM,-0.1162109375
11/27/2025 5:08:00.511000000 PM,-0.11328125
11/27/2025 5:08:00.553000000 PM,-0.115234375
11/27/2025 5:08:00.596000000 PM,-0.1162109375
11/27/2025 5:08:00.640000000 PM,-0.1025390625
11/27/2025 5:08:00.679000000 PM,-0.1171875
11/27/2025 5:08:00.721000000 PM,-0.130859375
11/27/2025 5:08:00.764000000 PM,-0.1064453125
11/27/2025 5:08:00.803000000 PM,-0.123046875
11/27/2025 5:08:00.844000000 PM,-0.12109375
11/27/2025 5:08:00.885000000 PM,-0.09375
11/27/2025 5:08:00.927000000 PM,-0.123046875
11/27/2025 5:08:00.969000000 PM,-0.1162109375
11/27/2025 5:08:01.012000000 PM,-0.09765625
11/27/2025 5:08:01.055000000 PM,-0.0888671875
11/27/2025 5:08:01.098000000 PM,-0.0869140625
11/27/2025 5:08:01.136000000 PM,-0.1455078125
11/27/2025 5:08:01.183000000 PM,-0.109375
11/27/2025 5:08:01.224000000 PM,-0.109375
11/27/2025 5:08:01.266000000 PM,-0.08984375
11/27/2025 5:08:01.308000000 PM,-0.078125
11/27/2025 5:08:01.347000000 PM,-0.1455078125
11/27/2025 5:08:01.389000000 PM,-0.1142578125
11/27/2025 5:08:01.430000000 PM,-0.0888671875
11/27/2025 5:08:01.472000000 PM,-0.1123046875
11/27/2025 5:08:01.514000000 PM,-0.1142578125
11/27/2025 5:08:01.555000000 PM,-0.119140625
11/27/2025 5:08:01.596000000 PM,-0.1142578125
11/27/2025 5:08:01.636000000 PM,-0.1064453125
11/27/2025 5:08:01.680000000 PM,-0.1201171875
11/27/2025 5:08:01.722000000 PM,-0.1103515625
11/27/2025 5:08:01.762000000 PM,-0.1162109375
11/27/2025 5:08:01.804000000 PM,-0.1181640625
11/27/2025 5:08:01.846000000 PM,-0.10546875
11/27/2025 5:08:01.886000000 PM,-0.109375
11/27/2025 5:08:01.932000000 PM,-0.12109375
11/27/2025 5:08:01.970000000 PM,-0.107421875
11/27/2025 5:08:02.014000000 PM,-0.109375
11/27/2025 5:08:02.055000000 PM,-0.1083984375
11/27/2025 5:08:02.098000000 PM,-0.1123046875
11/27/2025 5:08:02.139000000 PM,-0.1064453125
11/27/2025 5:08:02.181000000 PM,-0.1142578125
11/27/2025 5:08:02.223000000 PM,-0.099609375
11/27/2025 5:08:02.264000000 PM,-0.1083984375
11/27/2025 5:08:02.304000000 PM,-0.1142578125
11/27/2025 5:08:02.346000000 PM,-0.1162109375
11/27/2025 5:08:02.387000000 PM,-0.0986328125
11/27/2025 5:08:02.427000000 PM,-0.1064453125
11/27/2025 5:08:02.471000000 PM,-0.1162109375
11/27/2025 5:08:02.512000000 PM,-0.1005859375
11/27/2025 5:08:02.552000000 PM,-0.125
11/27/2025 5:08:02.595000000 PM,-0.099609375
11/27/2025 5:08:02.636000000 PM,-0.107421875
11/27/2025 5:08:02.676000000 PM,-0.1181640625
11/27/2025 5:08:02.718000000 PM,-0.12109375
11/27/2025 5:08:02.760000000 PM,-0.10546875
11/27/2025 5:08:02.801000000 PM,-0.109375
11/27/2025 5:08:02.843000000 PM,-0.103515625
11/27/2025 5:08:02.882000000 PM,-0.1181640625
11/27/2025 5:08:02.926000000 PM,-0.10546875
11/27/2025 5:08:02.967000000 PM,-0.1083984375
11/27/2025 5:08:03.008000000 PM,-0.1064453125
11/27/2025 5:08:03.051000000 PM,-0.1162109375
11/27/2025 5:08:03.092000000 PM,-0.1142578125
11/27/2025 5:08:03.133000000 PM,-0.10546875
11/27/2025 5:08:03.174000000 PM,-0.1142578125
11/27/2025 5:08:03.212000000 PM,-0.107421875
11/27/2025 5:08:03.258000000 PM,-0.109375
11/27/2025 5:08:03.300000000 PM,-0.1015625
11/27/2025 5:08:03.340000000 PM,-0.1220703125
11/27/2025 5:08:03.381000000 PM,-0.0966796875
11/27/2025 5:08:03.420000000 PM,-0.1181640625
11/27/2025 5:08:03.462000000 PM,-0.1044921875
11/27/2025 5:08:03.503000000 PM,-0.1064453125
11/27/2025 5:08:03.541000000 PM,-0.115234375
11/27/2025 5:08:03.583000000 PM,-0.109375
11/27/2025 5:08:03.625000000 PM,-0.103515625
11/27/2025 5:08:03.665000000 PM,-0.111328125
11/27/2025 5:08:03.710000000 PM,-0.111328125
11/27/2025 5:08:03.749000000 PM,-0.1025390625
11/27/2025 5:08:03.791000000 PM,-0.107421875
11/27/2025 5:08:03.832000000 PM,-0.1123046875
11/27/2025 5:08:03.872000000 PM,-0.0966796875
11/27/2025 5:08:03.915000000 PM,-0.107421875
11/27/2025 5:08:03.957000000 PM,-0.1025390625
11/27/2025 5:08:03.996000000 PM,-0.111328125
11/27/2025 5:08:04.043000000 PM,-0.1142578125
11/27/2025 5:08:04.081000000 PM,-0.107421875
11/27/2025 5:08:04.123000000 PM,-0.115234375
11/27/2025 5:08:04.164000000 PM,-0.12109375
11/27/2025 5:08:04.202000000 PM,-0.0966796875
11/27/2025 5:08:04.248000000 PM,-0.10546875
11/27/2025 5:08:04.296000000 PM,-0.1123046875
11/27/2025 5:08:04.335000000 PM,-0.1064453125
11/27/2025 5:08:04.379000000 PM,-0.107421875
11/27/2025 5:08:04.418000000 PM,-0.1103515625
11/27/2025 5:08:04.461000000 PM,-0.0986328125
11/27/2025 5:08:04.502000000 PM,-0.115234375
11/27/2025 5:08:04.540000000 PM,-0.1201171875
11/27/2025 5:08:04.584000000 PM,-0.1103515625
11/27/2025 5:08:04.626000000 PM,-0.111328125
11/27/2025 5:08:04.664000000 PM,-0.103515625
11/27/2025 5:08:04.706000000 PM,-0.1103515625
11/27/2025 5:08:04.744000000 PM,-0.111328125
11/27/2025 5:08:04.786000000 PM,-0.1171875
11/27/2025 5:08:04.828000000 PM,-0.0908203125
11/27/2025 5:08:04.867000000 PM,-0.1162109375
11/27/2025 5:08:04.920000000 PM,-0.1025390625
11/27/2025 5:08:04.974000000 PM,-0.1142578125
11/27/2025 5:08:05.015000000 PM,-0.115234375
11/27/2025 5:08:05.058000000 PM,-0.1044921875
11/27/2025 5:08:05.096000000 PM,-0.1171875
11/27/2025 5:08:05.140000000 PM,-0.1025390625
11/27/2025 5:08:05.182000000 PM,-0.1142578125
11/27/2025 5:08:05.220000000 PM,-0.1162109375
11/27/2025 5:08:05.264000000 PM,-0.109375
11/27/2025 5:08:05.305000000 PM,-0.1064453125
11/27/2025 5:08:05.344000000 PM,-0.115234375
11/27/2025 5:08:05.388000000 PM,-0.099609375
11/27/2025 5:08:05.426000000 PM,-0.1103515625
11/27/2025 5:08:05.468000000 PM,-0.1103515625
11/27/2025 5:08:05.517000000 PM,-0.1123046875
11/27/2025 5:08:05.557000000 PM,-0.1103515625
11/27/2025 5:08:05.600000000 PM,-0.11328125
11/27/2025 5:08:05.642000000 PM,-0.1044921875
11/27/2025 5:08:05.681000000 PM,-0.109375
11/27/2025 5:08:05.722000000 PM,-0.111328125
11/27/2025 5:08:05.764000000 PM,-0.1005859375
11/27/2025 5:08:05.804000000 PM,-0.1162109375
11/27/2025 5:08:05.848000000 PM,-0.1025390625
11/27/2025 5:08:05.887000000 PM,-0.1044921875
11/27/2025 5:08:05.930000000 PM,-0.115234375
11/27/2025 5:08:05.971000000 PM,-0.109375
11/27/2025 5:08:06.011000000 PM,-0.1181640625
11/27/2025 5:08:06.053000000 PM,-0.1083984375
11/27/2025 5:08:06.094000000 PM,-0.095703125
11/27/2025 5:08:06.132000000 PM,-0.115234375
11/27/2025 5:08:06.204000000 PM,-0.109375
11/27/2025 5:08:06.244000000 PM,-0.1083984375
11/27/2025 5:08:06.290000000 PM,-0.1083984375
11/27/2025 5:08:06.332000000 PM,-0.109375
11/27/2025 5:08:06.373000000 PM,-0.115234375
11/27/2025 5:08:06.415000000 PM,-0.107421875
11/27/2025 5:08:06.454000000 PM,-0.0986328125
11/27/2025 5:08:06.497000000 PM,-0.111328125
11/27/2025 5:08:06.539000000 PM,-0.109375
11/27/2025 5:08:06.578000000 PM,-0.1083984375
11/27/2025 5:08:06.621000000 PM,-0.109375
11/27/2025 5:08:06.662000000 PM,-0.1123046875
11/27/2025 5:08:06.702000000 PM,-0.1123046875
11/27/2025 5:08:06.744000000 PM,-0.109375
11/27/2025 5:08:06.783000000 PM,-0.111328125
11/27/2025 5:08:06.826000000 PM,-0.1083984375
11/27/2025 5:08:06.868000000 PM,-0.10546875
11/27/2025 5:08:06.906000000 PM,-0.115234375
11/27/2025 5:08:06.949000000 PM,-0.1064453125
11/27/2025 5:08:06.992000000 PM,-0.1044921875
11/27/2025 5:08:07.032000000 PM,-0.1123046875
11/27/2025 5:08:07.076000000 PM,-0.1044921875
11/27/2025 5:08:07.116000000 PM,-0.109375
11/27/2025 5:08:07.161000000 PM,-0.107421875
11/27/2025 5:08:07.203000000 PM,-0.1064453125
11/27/2025 5:08:07.242000000 PM,-0.10546875
11/27/2025 5:08:07.286000000 PM,-0.109375
11/27/2025 5:08:07.329000000 PM,-0.1025390625
11/27/2025 5:08:07.367000000 PM,-0.107421875
11/27/2025 5:08:07.411000000 PM,-0.1103515625
11/27/2025 5:08:07.451000000 PM,-0.1083984375
11/27/2025 5:08:07.495000000 PM,-0.115234375
11/27/2025 5:08:07.537000000 PM,-0.103515625
11/27/2025 5:08:07.577000000 PM,-0.109375
11/27/2025 5:08:07.638000000 PM,-0.1064453125
11/27/2025 5:08:07.681000000 PM,-0.1064453125
11/27/2025 5:08:07.720000000 PM,-0.12109375
11/27/2025 5:08:07.762000000 PM,-0.107421875
11/27/2025 5:08:07.801000000 PM,-0.103515625
11/27/2025 5:08:07.844000000 PM,-0.1083984375
11/27/2025 5:08:07.887000000 PM,-0.111328125
11/27/2025 5:08:07.925000000 PM,-0.109375
11/27/2025 5:08:07.966000000 PM,-0.111328125
11/27/2025 5:08:08.004000000 PM,-0.1103515625
11/27/2025 5:08:08.046000000 PM,-0.1005859375
11/27/2025 5:08:08.088000000 PM,-0.1103515625
11/27/2025 5:08:08.127000000 PM,-0.111328125
11/27/2025 5:08:08.171000000 PM,-0.1083984375
11/27/2025 5:08:08.212000000 PM,-0.111328125
11/27/2025 5:08:08.250000000 PM,-0.1103515625
11/27/2025 5:08:08.292000000 PM,-0.1044921875
11/27/2025 5:08:08.331000000 PM,-0.1083984375
11/27/2025 5:08:08.377000000 PM,-0.119140625
11/27/2025 5:08:08.421000000 PM,-0.1025390625
11/27/2025 5:08:08.460000000 PM,-0.1044921875
11/27/2025 5:08:08.501000000 PM,-0.1123046875
11/27/2025 5:08:08.544000000 PM,-0.1064453125
11/27/2025 5:08:08.582000000 PM,-0.1103515625
11/27/2025 5:08:08.626000000 PM,-0.1142578125
11/27/2025 5:08:08.665000000 PM,-0.0986328125
11/27/2025 5:08:08.708000000 PM,-0.11328125
11/27/2025 5:08:08.751000000 PM,-0.109375
11/27/2025 5:08:08.790000000 PM,-0.1025390625
11/27/2025 5:08:08.833000000 PM,-0.119140625
11/27/2025 5:08:08.877000000 PM,-0.1044921875
11/27/2025 5:08:08.916000000 PM,-0.10546875
11/27/2025 5:08:08.961000000 PM,-0.1162109375
11/27/2025 5:08:09.000000000 PM,-0.115234375
11/27/2025 5:08:09.043000000 PM,-0.10546875
11/27/2025 5:08:09.086000000 PM,-0.109375
11/27/2025 5:08:09.125000000 PM,-0.1123046875
11/27/2025 5:08:09.168000000 PM,-0.11328125
11/27/2025 5:08:09.212000000 PM,-0.1181640625
11/27/2025 5:08:09.252000000 PM,-0.107421875
11/27/2025 5:08:09.295000000 PM,-0.10546875
11/27/2025 5:08:09.335000000 PM,-0.119140625
11/27/2025 5:08:09.377000000 PM,-0.1064453125
11/27/2025 5:08:09.421000000 PM,-0.1044921875
11/27/2025 5:08:09.460000000 PM,-0.1083984375
11/27/2025 5:08:09.503000000 PM,-0.111328125
11/27/2025 5:08:09.542000000 PM,-0.1083984375
11/27/2025 5:08:09.583000000 PM,-0.107421875
11/27/2025 5:08:09.626000000 PM,-0.103515625
11/27/2025 5:08:09.667000000 PM,-0.123046875
11/27/2025 5:08:09.708000000 PM,-0.1318359375
11/27/2025 5:08:09.752000000 PM,-0.107421875
11/27/2025 5:08:09.791000000 PM,-0.1064453125
11/27/2025 5:08:09.833000000 PM,-0.10546875
11/27/2025 5:08:09.875000000 PM,-0.111328125
11/27/2025 5:08:09.921000000 PM,-0.107421875
11/27/2025 5:08:09.964000000 PM,-0.1142578125
11/27/2025 5:08:10.016000000 PM,-0.1103515625
11/27/2025 5:08:10.073000000 PM,-0.111328125
11/27/2025 5:08:10.119000000 PM,-0.109375
11/27/2025 5:08:10.157000000 PM,-0.1064453125
11/27/2025 5:08:10.199000000 PM,-0.111328125
11/27/2025 5:08:10.238000000 PM,-0.1162109375
11/27/2025 5:08:10.280000000 PM,-0.111328125
11/27/2025 5:08:10.322000000 PM,-0.107421875
11/27/2025 5:08:10.361000000 PM,-0.1123046875
