date,gz_vibration_g.mean_value
11/27/2025 4:49:56.641000000 PM,-0.1103515625
11/27/2025 4:49:56.679000000 PM,-0.115234375
11/27/2025 4:49:56.720000000 PM,-0.11328125
11/27/2025 4:49:56.760000000 PM,-0.111328125
11/27/2025 4:49:56.801000000 PM,-0.115234375
11/27/2025 4:49:56.842000000 PM,-0.1171875
11/27/2025 4:49:56.882000000 PM,-0.1083984375
11/27/2025 4:49:56.923000000 PM,-0.1083984375
11/27/2025 4:49:56.962000000 PM,-0.1123046875
11/27/2025 4:49:57.005000000 PM,-0.1103515625
11/27/2025 4:49:57.047000000 PM,-0.111328125
11/27/2025 4:49:57.086000000 PM,-0.1123046875
11/27/2025 4:49:57.128000000 PM,-0.115234375
11/27/2025 4:49:57.169000000 PM,-0.111328125
11/27/2025 4:49:57.209000000 PM,-0.11328125
11/27/2025 4:49:57.251000000 PM,-0.1142578125
11/27/2025 4:49:57.289000000 PM,-0.10546875
11/27/2025 4:49:57.331000000 PM,-0.111328125
11/27/2025 4:49:57.372000000 PM,-0.115234375
11/27/2025 4:49:57.411000000 PM,-0.109375
11/27/2025 4:49:57.455000000 PM,-0.109375
11/27/2025 4:49:57.496000000 PM,-0.103515625
11/27/2025 4:49:57.536000000 PM,-0.1064453125
11/27/2025 4:49:57.578000000 PM,-0.1142578125
11/27/2025 4:49:57.616000000 PM,-0.1123046875
11/27/2025 4:49:57.662000000 PM,-0.1103515625
11/27/2025 4:49:57.703000000 PM,-0.1142578125
11/27/2025 4:49:57.742000000 PM,-0.111328125
11/27/2025 4:49:57.795000000 PM,-0.1103515625
11/27/2025 4:49:57.849000000 PM,-0.1103515625
11/27/2025 4:49:57.893000000 PM,-0.1142578125
11/27/2025 4:49:57.934000000 PM,-0.11328125
11/27/2025 4:49:57.973000000 PM,-0.107421875
11/27/2025 4:49:58.015000000 PM,-0.1103515625
11/27/2025 4:49:58.056000000 PM,-0.111328125
11/27/2025 4:49:58.095000000 PM,-0.109375
11/27/2025 4:49:58.137000000 PM,-0.1142578125
11/27/2025 4:49:58.175000000 PM,-0.1103515625
11/27/2025 4:49:58.217000000 PM,-0.109375
11/27/2025 4:49:58.259000000 PM,-0.1103515625
11/27/2025 4:49:58.297000000 PM,-0.111328125
11/27/2025 4:49:58.339000000 PM,-0.115234375
11/27/2025 4:49:58.378000000 PM,-0.1171875
11/27/2025 4:49:58.419000000 PM,-0.107421875
11/27/2025 4:49:58.461000000 PM,-0.111328125
11/27/2025 4:49:58.500000000 PM,-0.109375
11/27/2025 4:49:58.544000000 PM,-0.111328125
11/27/2025 4:49:58.586000000 PM,-0.111328125
11/27/2025 4:49:58.626000000 PM,-0.109375
11/27/2025 4:49:58.668000000 PM,-0.1103515625
11/27/2025 4:49:58.706000000 PM,-0.1123046875
11/27/2025 4:49:58.748000000 PM,-0.1123046875
11/27/2025 4:49:58.791000000 PM,-0.115234375
